종목명,티커
드림어스컴퍼니,060570.KS
컴투스홀딩스,063080.KS
케이프,064820.KS
에프앤가이드,064850.KS
빅텍,065450.KS
안트로젠,065660.KS
우주일렉트로,065680.KS
도이치모터스,067990.KS
DMS,068790.KS
율호,072770.KS
메가스터디,072870.KS
케이에스피,073010.KS
금화피에스시,036190.KS
삼지전자,037460.KS
레드캡투어,038390.KS
YTN,040300.KS
현대에버다임,041440.KS
지니뮤직,043610.KS
코다코,046070.KS
이스트소프트,047560.KS
SM C&C,048550.KS
고려신용정보,049720.KS
지어소프트,051160.KS
중앙에너비스,000440.KS
한일사료,005860.KS
동구바이오제약,006620.KS
보성파워텍,006910.KS
푸른저축은행,007330.KS
삼아제약,009300.KS
모베이스전자,012860.KS
아가방컴퍼니,013990.KS
오리엔탈정공,014940.KS
삼보판지,023600.KS
대한약품,023910.KS
팜스토리,027710.KS
양지사,030960.KS
더라미,032860.KS
코웰패션,033290.KS
그래디언트,035080.KS
신신제약,002800.KS
선광,003100.KS
대원산업,005710.KS
매일홀딩스,005990.KS
대명소노시즌,007720.KS
에스엠코어,007820.KS
엠에스씨,009780.KS
세보엠이씨,011560.KS
리드코프,012700.KS
아진산업,013310.KS
부방,014470.KS
유니슨,018000.KS
진로발효,018120.KS
베뉴지,019010.KS
SBI인베스트먼트,019550.KS
엠벤처투자,019590.KS
에이티넘인베스트,021080.KS
제이스코홀딩스,023440.KS
풍국주정,023900.KS
KBI메탈,024840.KS
특수건설,026150.KS
코리아나,027050.KS
인성정보,033230.KS
솔본,035610.KS
세종텔레콤,036630.KS
파세코,037070.KS
엘컴텍,037950.KS
에코플라스틱,038110.KS
한국경제TV,039340.KS
다산네트웍스,039560.KS
화성밸브,039610.KS
나노엔텍,039860.KS
크레오에스지,040350.KS
정상제이엘에스,040420.KS
아이씨디,040910.KS
플래스크,041590.KS
동아화성,041930.KS
라온시큐어,042510.KS
한스바이오메드,042520.KS
성호전자,043260.KS
위닉스,044340.KS
에이텍,045660.KS
코아시아,045970.KS
HLB파나진,046210.KS
초록뱀미디어,047820.KS
대원미디어,048910.KS
코메론,049430.KS
유아이엘,049520.KS
쎌바이오텍,049960.KS
코텍,052330.KS
지에스이,053050.KS
예스24,053280.KS
웹케시,053580.KS
삼보모터스,053700.KS
농우바이오,054050.KS
APS,054620.KS
대한뉴팜,054670.KS
아이디스홀딩스,054800.KS
이노시스,056090.KS
KNN,058400.KS
3S,060310.KS
홈센타홀딩스,060560.KS
알에프텍,061040.KS
화일약품,061250.KS
