Ticker,Return,Volume Change Rate,Original Ticker
AJ네트웍스,0.422,-6.828,095570.KS
한솔홈데코,0.417,-47.721,025750.KS
신원,0.416,48.61,009270.KS
삼성생명,0.412,7.438,032830.KS
대성에너지,0.409,-41.207,117580.KS
코람코더원리츠,0.402,54.109,417310.KS
대창단조,0.397,107.458,015230.KS
현대위아,0.392,-59.64,011210.KS
아주스틸,0.39,-51.03,139990.KS
유수홀딩스,0.39,-41.366,000700.KS
제일기획,0.39,-28.034,030000.KS
한샘,0.388,-60.126,009240.KS
영풍,0.386,-55.134,000670.KS
한국수출포장,0.386,-49.433,002200.KS
강남제비스코,0.384,-38.492,000860.KS
한일홀딩스,0.379,73.411,003300.KS
까뮤이앤씨,0.379,-56.134,013700.KS
SH에너지화학,0.364,-84.943,002360.KS
JW중외제약,0.36,-35.032,001060.KS
DB금융투자,0.359,-42.935,016610.KS
아이마켓코리아,0.358,-31.892,122900.KS
남성,0.356,154.851,004270.KS
신대양제지,0.351,-43.028,016590.KS
한전KPS,0.351,-34.902,051600.KS
동양생명,0.346,-37.497,082640.KS
현대지에프홀딩스,0.34,51.287,005440.KS
세기상사,0.336,-58.219,002420.KS
종근당바이오,0.335,-42.528,063160.KS
동성제약,0.332,-4.681,002210.KS
현대백화점,0.322,-52.863,069960.KS
다스코,0.312,184.975,058730.KS
HS애드,0.312,7.923,035000.KS
NHN,0.302,-46.815,181710.KS
기아,0.298,-56.437,000270.KS
비에이치,0.297,-11.842,090460.KS
평화산업,0.296,33.753,090080.KS
한신공영,0.29,-46.989,004960.KS
에이엔피,0.28,-41.793,015260.KS
동화약품,0.259,-29.067,000020.KS
현대그린푸드,0.256,-31.586,453340.KS
미원상사,0.252,-56.727,002840.KS
스틱인베스트먼트,0.25,31.456,026890.KS
현대퓨처넷,0.246,-14.386,126560.KS
디와이파워,0.238,-2.378,210540.KS
세방,0.236,30.214,004360.KS
대교,0.235,-74.416,019680.KS
유성기업,0.235,11.697,002920.KS
삼영무역,0.235,-29.168,002810.KS
한국가스공사,0.229,-20.672,036460.KS
신영와코루,0.218,-77.544,005800.KS
갤럭시아에스엠,0.214,34.493,011420.KS
에어부산,0.206,-55.896,298690.KS
롯데지주,0.206,-27.183,004990.KS
카카오페이,0.203,-61.037,377300.KS
스카이라이프,0.198,34.06,053210.KS
태경산업,0.189,-38.609,015890.KS
삼정펄프,0.188,403.875,009770.KS
에이피알,0.184,-10.789,278470.KS
대신증권,0.181,-22.371,003540.KS
평화홀딩스,0.18,-63.653,010770.KS
수산중공업,0.177,2.486,017550.KS
CR홀딩스,0.175,101.244,000480.KS
광동제약,0.174,20.311,009290.KS
광주신세계,0.172,93.473,037710.KS
DL이앤씨,0.171,-7.791,375500.KS
LX인터내셔널,0.171,-35.163,001120.KS
MH에탄올,0.17,-34.82,023150.KS
다올투자증권,0.168,20.913,030210.KS
크라운해태홀딩스,0.166,-26.684,005740.KS
효성ITX,0.157,94.679,094280.KS
동국씨엠,0.154,274.084,460850.KS
한국주강,0.151,185.716,025890.KS
대성산업,0.142,-39.68,128820.KS
LX홀딩스,0.14,7.429,383800.KS
카카오,0.134,-54.432,035720.KS
일진홀딩스,0.132,-36.45,015860.KS
DI동일,0.127,-56.523,001530.KS
OCI,0.125,-50.166,456040.KS
녹십자,0.125,-50.993,006280.KS
삼양패키징,0.118,64.361,272550.KS
금강공업,0.115,51.857,014280.KS
비비안,0.112,-81.296,002070.KS
노루페인트,0.111,-15.226,090350.KS
삼천리,0.111,-38.134,004690.KS
NH프라임리츠,0.11,-6.605,338100.KS
삼익THK,0.104,-12.314,004380.KS
LG유플러스,0.103,-18.175,032640.KS
성문전자,0.08,18.691,014910.KS
일양약품,0.077,-41.86,007570.KS
노루홀딩스,0.072,-55.367,000320.KS
SK가스,0.059,-74.454,018670.KS
청호ICT,0.0,,012600.KS
한국항공우주,0.0,-18.812,047810.KS
IHQ,0.0,,003560.KS
한국쉘석유,0.0,-17.226,002960.KS
부광약품,0.0,-31.08,003000.KS
세이브존I&C,0.0,-21.228,067830.KS
SPC삼립,0.0,-5.124,005610.KS
삼영전자,0.0,2.731,005680.KS
성보화학,0.0,-69.147,003080.KS
모나리자,0.0,82.113,012690.KS
KH 필룩스,0.0,,033180.KS
주연테크,0.0,19.398,044380.KS
HD현대인프라코어,0.0,-1.865,042670.KS
효성,0.0,-8.049,004800.KS
WISCOM,0.0,-96.834,024070.KS
우신시스템,0.0,-88.197,017370.KS
농심,0.0,-47.62,004370.KS
이구산업,0.0,27.568,025820.KS
신라교역,0.0,-5.638,004970.KS
성신양회,0.0,-18.467,004980.KS
한솔홀딩스,0.0,-19.907,004150.KS
부산주공,0.0,,005030.KS
신도리코,0.0,-61.833,029530.KS
한국전력,0.0,-29.859,015760.KS
신세계인터내셔날,0.0,-29.889,031430.KS
한창,0.0,,005110.KS
콤텍시스템,0.0,-45.73,031820.KS
오리엔트바이오,0.0,-54.314,002630.KS
SJG세종,0.0,33.742,033530.KS
신세계건설,0.0,73.275,034300.KS
인천도시가스,0.0,47.803,034590.KS
SNT홀딩스,0.0,9.859,036530.KS
LG헬로비전,0.0,-39.96,037560.KS
롯데칠성,0.0,-42.893,005300.KS
지엠비코리아,0.0,57.601,013870.KS
상신브레이크,0.0,-54.866,041650.KS
대림B&Co,0.0,207.525,005750.KS
한화인더스트리얼솔루션즈,0.0,-60.248,489790.KS
에이플러스에셋,0.0,-83.225,244920.KS
경보제약,0.0,,214390.KS
코오롱ENP,0.0,-33.7,138490.KS
BNK금융지주,0.0,-53.416,138930.KS
에이리츠,0.0,,140910.KS
PI첨단소재,0.0,-20.176,178920.KS
상상인증권,0.0,-45.484,001290.KS
국보,0.0,,001140.KS
마스턴프리미어리츠,0.0,-36.651,357430.KS
윌비스,0.0,29.763,008600.KS
현대코퍼레이션홀딩스,0.0,-48.547,227840.KS
전방,0.0,786.538,000950.KS
미래에셋맵스리츠,0.0,9.737,357250.KS
금비,0.0,1.019,008870.KS
효성중공업,0.0,-25.637,298040.KS
미원에스씨,0.0,-23.367,268280.KS
일진하이솔루스,0.0,-29.459,271940.KS
태영건설,0.0,,009410.KS
하나제약,0.0,-37.755,293480.KS
보해양조,0.0,-63.096,000890.KS
