종목명,티커
남해화학,025860.KS
스틱인베스트먼트,026890.KS
BGF,027410.KS
신도리코,029530.KS
신세계인터내셔날,031430.KS
자화전자,033240.KS
유나이티드제약,033270.KS
NICE,034310.KS
SNT홀딩스,036530.KS
세아홀딩스,058650.KS
HL홀딩스,060980.KS
삼화전기,009470.KS
화신,010690.KS
한농화성,011500.KS
신성이엔지,011930.KS
지누스,013890.KS
퍼시스,016800.KS
풀무원,017810.KS
DS단석,017860.KS
애경산업,018250.KS
삼천리,004690.KS
조광피혁,004700.KS
SGC에너지,005090.KS
신성통상,005390.KS
SPC삼립,005610.KS
파미셀,005690.KS
풍산홀딩스,005810.KS
사조산업,007160.KS
에이프로젠,007460.KS
삼화콘덴서,001820.KS
KISCO홀딩스,001940.KS
고려제강,002240.KS
아세아제지,002310.KS
한국쉘석유,002960.KS
부광약품,003000.KS
디아이,003160.KS
대원제약,003220.KS
흥아해운,003280.KS
한일홀딩스,003300.KS
코오롱모빌리티그룹,450140.KS
한화갤러리아,452260.KS
동국씨엠,460850.KS
조선내화,462520.KS
HS효성,487570.KS
대성산업,128820.KS
미원화학,134380.KS
선진,136490.KS
코오롱ENP,138490.KS
아주스틸,139990.KS
동일고무벨트,163560.KS
제이에스코퍼레이션,194370.KS
디와이파워,210540.KS
SK디앤디,210980.KS
한솔제지,213500.KS
금호에이치티,214330.KS
경보제약,214390.KS
토니모리,214420.KS
잇츠한불,226320.KS
JW생명과학,234080.KS
샘표식품,248170.KS
크라운제과,264900.KS
경동도시가스,267290.KS
아시아나IDT,267850.KS
제일약품,271980.KS
삼양패키징,272550.KS
하나제약,293480.KS
효성화학,298000.KS
에어부산,298690.KS
자이에스앤디,317400.KS
HD현대에너지솔루션,322000.KS
교촌에프앤비,339770.KS
티와이홀딩스,363280.KS
한컴라이프케어,372910.KS
이엔플러스,074610.KS
유니퀘스트,077500.KS
에이블씨엔씨,078520.KS
현대리바트,079430.KS
전진건설로봇,079900.KS
휴비스,079980.KS
일진다이아,081000.KS
그린케미칼,083420.KS
이월드,084680.KS
HDC현대EP,089470.KS
노루페인트,090350.KS
디아이씨,092200.KS
KEC,092220.KS
KPX홀딩스,092230.KS
넥스틸,092790.KS
효성ITX,094280.KS
AJ네트웍스,095570.KS
웅진씽크빅,095720.KS
JW홀딩스,096760.KS
HJ중공업,097230.KS
진양홀딩스,100250.KS
SNT에너지,100840.KS
해태제과식품,101530.KS
동성케미컬,102260.KS
이연제약,102460.KS
우진,105840.KS
미원홀딩스,107590.KS
주성코퍼레이션,109070.KS
동인기연,111380.KS
대성에너지,117580.KS
조선선재,120030.KS
아이마켓코리아,122900.KS
한국화장품,123690.KS
수산인더스트리,126720.KS
키다리스튜디오,020120.KS
삼원강재,023000.KS
동남합성,023450.KS
인지컨트롤스,023800.KS
디씨엠,024090.KS
콜마홀딩스,024720.KS
덕양산업,024900.KS
KPX케미칼,025000.KS
이구산업,025820.KS
한국제지,027970.KS
동아지질,028100.KS
케이씨,029460.KS
다올투자증권,030210.KS
신세계푸드,031440.KS
KH 필룩스,033180.KS
SJG세종,033530.KS
무학,033920.KS
SBS,034120.KS
신세계건설,034300.KS
인천도시가스,034590.KS
한국토지신탁,034830.KS
HS애드,035000.KS
백산,035150.KS
신세계 I&C,035510.KS
콘텐트리중앙,036420.KS
YG PLUS,037270.KS
LG헬로비전,037560.KS
광주신세계,037710.KS
HDC랩스,039570.KS
KSS해운,044450.KS
스카이라이프,053210.KS
한미글로벌,053690.KS
포스코스틸리온,058430.KS
KTcs,058850.KS
종근당바이오,063160.KS
삼성출판사,068290.KS
모나용평,070960.KS
롯데하이마트,071840.KS
무림P&P,009580.KS
모토닉,009680.KS
